dataset,metric,comparison_key,n_paired_recomputed,raw_p,wilcoxon_p,n_paired_frozen,abs_p_diff,n_match
Kvasir,assd,baseline->usr,100,0.0004648835849,0.0004648835849,100,4.537386092e-17,True
Kvasir,assd,usr->both,100,0.1439364056,0.1439364056,100,0,True
Kvasir,boundary_dice,abloss->both,100,1.850840753e-14,1.850840753e-14,100,3.155443621e-30,True
Kvasir,boundary_dice,baseline->abloss,100,9.950447275e-06,9.950447275e-06,100,1.694065895e-21,True
Kvasir,boundary_dice,baseline->both,100,0.02497509023,0.02497509023,100,2.081668171e-17,True
Kvasir,boundary_dice,baseline->usr,100,1.435571871e-07,1.435571871e-07,100,0,True
Kvasir,boundary_dice,usr->both,100,7.046698256e-05,7.046698256e-05,100,0,True
Kvasir,dice,abloss->both,100,1.612264994e-08,1.612264994e-08,100,0,True
Kvasir,dice,baseline->abloss,100,0.3496726883,0.3496726883,100,0,True
Kvasir,dice,baseline->both,100,0.8933277152,0.8933277152,100,0,True
Kvasir,dice,baseline->usr,100,3.425207458e-05,3.425207458e-05,100,0,True
Kvasir,dice,usr->both,100,0.5704943464,0.5704943464,100,0,True
Kvasir,hd95,abloss->both,100,0.0002791277469,0.0002791277469,100,6.993104013e-18,True
Kvasir,hd95,baseline->abloss,100,0.7027179817,0.7027179817,100,0,True
Kvasir,hd95,baseline->both,100,0.4643219976,0.4643219976,100,5.551115123e-17,True
Kvasir,hd95,baseline->usr,100,0.0007242321859,0.0007242321859,100,8.803721641e-17,True
Kvasir,hd95,usr->both,100,0.867559776,0.867559776,100,0,True
Kvasir,iou,abloss->both,100,1.235865758e-09,1.235865758e-09,100,0,True
Kvasir,iou,baseline->abloss,100,0.2818397532,0.2818397532,100,0,True
Kvasir,iou,baseline->both,100,0.8581003268,0.8581003268,100,0,True
Kvasir,iou,baseline->usr,100,2.381978528e-05,2.381978528e-05,100,3.388131789e-21,True
Kvasir,iou,usr->both,100,0.5157933846,0.5157933846,100,0,True
Kvasir,precision,abloss->both,100,1.022095091e-15,1.022095091e-15,100,0,True
Kvasir,precision,baseline->abloss,100,0.07213836662,0.07213836662,100,2.775557562e-17,True
Kvasir,precision,baseline->both,100,0.8446222854,0.8446222854,100,0,True
Kvasir,precision,baseline->usr,100,9.330061593e-16,9.330061593e-16,100,0,True
Kvasir,precision,usr->both,100,0.07225639935,0.07225639935,100,1.387778781e-17,True
Kvasir,recall,abloss->both,100,1.414255627e-15,1.414255627e-15,100,0,True
Kvasir,recall,baseline->abloss,100,1.934235104e-05,1.934235104e-05,100,0,True
Kvasir,recall,baseline->both,100,0.01282523364,0.01282523364,100,5.204170428e-18,True
Kvasir,recall,baseline->usr,100,1.46020605e-14,1.46020605e-14,100,0,True
Kvasir,recall,usr->both,100,4.478165774e-06,4.478165774e-06,100,0,True
