family,dataset,metric,direction,first,second,comparison,n_paired,mean_paired_diff_second_minus_first,median_paired_diff_second_minus_first,raw_p,bh_q,raw_sig,bh_sig,bh_q_lt_0.001,bh_q_lt_0.01,bh_q_lt_0.05
all7,CVC-ColonDB,boundary_dice,higher_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,380,0.002963593668,0.0004927451381,4.912420202e-09,4.298367677e-08,True,True,True,True,True
all7,CVC-ColonDB,boundary_dice,higher_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,380,0.004754858354,1.170130091e-12,0.0698701868,0.1222728269,False,False,False,False,False
all7,CVC-ColonDB,dice,higher_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,380,0.00472253349,5.005220165e-13,0.004658464544,0.01198869552,True,True,False,False,True
all7,CVC-ColonDB,dice,higher_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,380,0.005525027337,3.75570048e-13,0.004584373171,0.01197410903,True,True,False,False,True
all7,CVC-ColonDB,dice,higher_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,380,0.000748652046,1.697151336e-14,0.005859689022,0.01444289548,True,True,False,False,True
all7,CVC-ColonDB,dice,higher_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,380,0.0008024938463,3.926137049e-14,0.004387399043,0.01163325504,True,True,False,False,True
all7,CVC-ColonDB,dice,higher_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,380,0.004776375291,1.208532956e-13,0.04406813947,0.0838252653,True,False,False,False,False
all7,CVC-ColonDB,hd95,lower_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,380,-1.148171419,-0.5415680165,0.1472875853,0.2207320382,False,False,False,False,False
all7,CVC-ColonDB,hd95,lower_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,380,-1.451070434,-0.7602266719,0.09291876402,0.1548646067,False,False,False,False,False
all7,CVC-ColonDB,hd95,lower_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,380,-0.694787398,0,0.2263750427,0.319480907,False,False,False,False,False
all7,CVC-ColonDB,hd95,lower_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,380,-0.3028990147,0,0.5291046115,0.6132007087,False,False,False,False,False
all7,CVC-ColonDB,hd95,lower_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,380,-0.7562830359,-0.102378611,0.320707248,0.4251800637,False,False,False,False,False
all7,CVC-ColonDB,iou,higher_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,380,0.007878633269,5.005220165e-13,0.0007562012074,0.002544907909,True,True,False,True,True
all7,CVC-ColonDB,iou,higher_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,380,0.009065652445,3.75570048e-13,0.0006725234569,0.002353832099,True,True,False,True,True
